	num_unique_subclones	mean_apparent_ccf	mean_true_ccfs	mean_diff	ccf_diff_higher_true	ccf_diff_lower_true	ks_pval	ks_stat	sp_pval	sp_rho	mean_fit	max_fit	prop_total_subclones	num_clones_over_0.01	mean_fit_over_0.01	max_fit_over_0.01	prop_total_subclones_over_0.01	prop_over0.01_subclones_over_0.01	ITH	ITH_over_0.01	n_clonal	n_subclonal	n_subclonal_over_0.01
113273	1210	0.00497269030074517	0.00496842376874698	0.000101358204372127	0.000123820216422394	-8.70905845166652e-05	0.8583247142158	0.0859183673469388	0	0.937952225654774	19.8234059913806	51.5687577254685	0.589668615984405	34	16.0489215466715	28.5636178418783	0.0165692007797271	1.03030303030303	654.5	24	4	2618	96
113273	1216	0.0049297291629988	0.00491948548120849	8.36297080746622e-05	0.000105957577754073	-7.19677870186567e-05	0.4951094374816	0.120254553434277	0	0.943775520930006	19.6839532793717	51.5687577254685	0.592592592592593	32	16.3130918706505	28.5636178418783	0.0155945419103314	0.96969696969697	661	22.25	4	2644	89
113273	1201	0.00499136706454752	0.00499306899632144	0.00010120936693971	0.000135878329121385	-8.027671563004e-05	0.29060435389831	0.142857142857143	0	0.938469674086288	19.6327634943233	51.5687577254685	0.585282651072125	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	651.25	21.75	4	2605	87
113273	1204	0.0050059483414612	0.00500262276389191	9.52820401497634e-05	0.000122545869273059	-7.91048171720306e-05	0.650851441275465	0.106539389949528	0	0.94016243123647	19.6684457069607	51.5687577254685	0.586744639376218	32	16.0955823552873	28.5636178418783	0.0155945419103314	0.96969696969697	650	22.25	4	2600	89
113273	1242	0.00490042463716036	0.00488110862767126	0.000121271977884625	0.000138836979412073	-0.000111344017299842	0.302965392480014	0.141287284144427	0	0.945091292161682	19.9589130390584	51.5687577254685	0.605263157894737	31	15.8376264631499	28.5636178418783	0.0151072124756335	0.939393939393939	666.25	21.75	4	2665	87
113273	1209	0.00496251623933939	0.00495699744596849	7.50671806350488e-05	9.0302945518863e-05	-6.5688566900632e-05	0.61874528278767	0.108418367346939	0	0.938634958537724	19.6589863861864	51.5687577254685	0.589181286549708	32	15.8854249285117	28.5636178418783	0.0155945419103314	0.96969696969697	656	23	4	2624	92
113273	1175	0.0051237320733507	0.00512035029756993	0.000103170082772839	0.000134034558071712	-8.50809567358389e-05	0.195097895633645	0.15613342111038	0	0.940637977758131	19.7059938388066	51.5687577254685	0.57261208576998	32	15.9715777209903	28.5636178418783	0.0155945419103314	0.96969696969697	635	22.25	4	2540	89
113273	1182	0.00508910884388495	0.00508466862871563	8.63023693724057e-05	0.000100445804151485	-7.67775764847772e-05	0.963945243664875	0.0714285714285714	0	0.937631180760401	19.6972419570206	51.5687577254685	0.576023391812866	33	15.8051853810692	28.5636178418783	0.0160818713450292	1	639.5	23.5	4	2558	94
113273	1221	0.00490178541953513	0.00489920733340741	7.2312407358496e-05	0.000100228951433857	-5.75531277976436e-05	0.860922145056854	0.0865221088435374	0	0.941234814410471	19.6269938238323	51.5687577254685	0.595029239766082	32	15.6679154131485	28.5636178418783	0.0155945419103314	0.96969696969697	663.75	23	4	2655	92
113273	1206	0.00499800308706383	0.00499508551742857	9.23306595786715e-05	0.000117772393218392	-7.69539596623093e-05	0.465696162580495	0.12202380952381	0	0.940176279297792	19.7090222812895	51.5687577254685	0.587719298245614	32	15.8854249285117	28.5636178418783	0.0155945419103314	0.96969696969697	651	23	4	2604	92
