new_column	ID	ParentID	second_parent	third_parent	fourth_parent	fifth_parent	sixth_parent	seventh_parent	drivers_ID	uniq_subclones_per_driver	drivers_CCF_true
16139_3648_1321_606_237_0_0_0	16139	3648	1321	606	237	0	0	0	9	2	4.81844017053263e-05
16224_3648_1321_606_237_0_0_0	16224	3648	1321	606	237	0	0	0	9	2	8.03073361755438e-06
16291_3648_1321_606_237_0_0_0	16291	3648	1321	606	237	0	0	0	9	2	1.50576255329145e-05
16306_3648_1321_606_237_0_0_0	16306	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
16355_3648_1321_606_237_0_0_0	16355	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
16389_3648_1321_606_237_0_0_0	16389	3648	1321	606	237	0	0	0	9	2	0.00153487396265508
28318_16389_3648_1321_606_237_0_0	28318	16389	3648	1321	606	237	0	0	10	2	4.01536680877719e-06
16466_3648_1321_606_237_0_0_0	16466	3648	1321	606	237	0	0	0	9	2	3.11190927680232e-05
16478_3648_1321_606_237_0_0_0	16478	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-06
16551_3648_1321_606_237_0_0_0	16551	3648	1321	606	237	0	0	0	9	2	1.50576255329145e-05
16796_3648_1321_606_237_0_0_0	16796	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-05
16902_3648_1321_606_237_0_0_0	16902	3648	1321	606	237	0	0	0	9	2	1.60614672351088e-05
16963_3648_1321_606_237_0_0_0	16963	3648	1321	606	237	0	0	0	9	2	3.11190927680232e-05
17072_3648_1321_606_237_0_0_0	17072	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-05
17373_3648_1321_606_237_0_0_0	17373	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
17375_3648_1321_606_237_0_0_0	17375	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
17376_3648_1321_606_237_0_0_0	17376	3648	1321	606	237	0	0	0	9	2	1.80691506394974e-05
17426_3648_1321_606_237_0_0_0	17426	3648	1321	606	237	0	0	0	9	2	4.01536680877719e-06
17427_3648_1321_606_237_0_0_0	17427	3648	1321	606	237	0	0	0	9	2	2.60998842570517e-05
17428_3648_1321_606_237_0_0_0	17428	3648	1321	606	237	0	0	0	9	2	9.23534366018754e-05
17590_3648_1321_606_237_0_0_0	17590	3648	1321	606	237	0	0	0	9	2	1.40537838307202e-05
17752_3648_1321_606_237_0_0_0	17752	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
18080_3648_1321_606_237_0_0_0	18080	3648	1321	606	237	0	0	0	9	2	0.000131503262987453
18514_3648_1321_606_237_0_0_0	18514	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
18549_3648_1321_606_237_0_0_0	18549	3648	1321	606	237	0	0	0	9	2	7.02689191536008e-06
18687_3648_1321_606_237_0_0_0	18687	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
18811_3648_1321_606_237_0_0_0	18811	3648	1321	606	237	0	0	0	9	2	7.02689191536008e-06
19508_3648_1321_606_237_0_0_0	19508	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
19578_3648_1321_606_237_0_0_0	19578	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-05
19656_3648_1321_606_237_0_0_0	19656	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-05
19698_3648_1321_606_237_0_0_0	19698	3648	1321	606	237	0	0	0	9	2	4.31651931943548e-05
19813_3648_1321_606_237_0_0_0	19813	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
19814_3648_1321_606_237_0_0_0	19814	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
19889_3648_1321_606_237_0_0_0	19889	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-06
20209_3648_1321_606_237_0_0_0	20209	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
20286_3648_1321_606_237_0_0_0	20286	3648	1321	606	237	0	0	0	9	2	3.81459846833833e-05
20576_3648_1321_606_237_0_0_0	20576	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-06
20697_3648_1321_606_237_0_0_0	20697	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
20791_3648_1321_606_237_0_0_0	20791	3648	1321	606	237	0	0	0	9	2	3.01152510658289e-06
20922_3648_1321_606_237_0_0_0	20922	3648	1321	606	237	0	0	0	9	2	1.70653089373031e-05
21310_3648_1321_606_237_0_0_0	21310	3648	1321	606	237	0	0	0	9	2	1.0038417021943e-06
21960_3648_1321_606_237_0_0_0	21960	3648	1321	606	237	0	0	0	9	2	4.01536680877719e-06
21988_3648_1321_606_237_0_0_0	21988	3648	1321	606	237	0	0	0	9	2	2.0076834043886e-06
22124_3648_1321_606_237_0_0_0	22124	3648	1321	606	237	0	0	0	9	2	1.10422587241373e-05
