ID	ParentID	Distance	Alive	Necrotic	Lost	Drivers	Passengers	Fitness	CCF	clone_order	Alive_cells_all_descendents	driver_CCF
12573	4232	1	2837	1407010	107107	9	0	20.1053826345449	0.0028	fifth	2841	0.002851914275934
12632	4232	1	1716	716277	58122	9	0	19.8461820970015	0.0017	fifth	1717	0.00172359620266761
13526	4232	1	248	90354	7501	9	0	20.3411593403391	3e-04	fifth	251	0.000251964267250769
14878	2869	1	173	62866	5189	9	0	20.4349673745107	2e-04	fifth	174	0.000174668456181808
15082	4232	1	7573	3792816	212277	9	0	26.977231461696	0.0077	fifth	7717	0.00774664641583339
15322	4232	1	6283	2584850	140953	9	0	29.4267149920736	0.0068	fifth	6741	0.00676689691449176
15907	4232	1	6449	2675183	144858	9	0	29.4781134583399	0.0072	fifth	7131	0.00715839517834754
16063	3648	1	120	42452	3514	9	0	20.4867013006201	1e-04	fifth	126	0.000126484054476481
16389	3648	1	1525	430537	31078	9	0	25.938018715516	0.0015	fifth	1529	0.00153487396265508
16920	4232	1	2212	655083	43569	9	0	27.7213064712866	0.0022	fifth	2214	0.00222250552865818
17629	4232	1	5350	1994886	109869	9	0	30.1536534111878	0.0054	fifth	5390	0.00541070677482726
17753	6535	1	1763	523906	37097	9	0	25.8600655039944	0.0018	fifth	1765	0.00177178060437294
18149	4232	1	6082	2374648	127529	9	0	30.3795716212069	0.0061	fifth	6119	0.00614250737572691
19026	8671	1	1040	238152	17947	9	0	27.733173672438	0.001	fifth	1041	0.00104499921198426
19728	6042	1	66	16312	1332	9	0	24.3032261796809	1e-04	fifth	70	7.02689191536008e-05
20009	6535	1	323	67911	5535	9	0	26.8311432196998	3e-04	fifth	325	0.000326248553213147
13382	10253	1	12936	7510815	378361	10	0	28.5636178418783	0.014	sixth	13984	0.0140377223634851
16615	10253	1	5984	2438210	135143	10	0	29.1633813314478	0.006	sixth	6000	0.00602305021316579
16650	10253	1	3977	1454071	86934	10	0	27.9523673813345	0.004	sixth	4006	0.00402138985899036
17324	10253	1	5666	2155180	118066	10	0	30.2412439345193	0.0057	sixth	5668	0.00568977476803728
17905	10253	1	1664	442376	30714	10	0	27.8669005263567	0.0017	sixth	1665	0.00167139643415351
18791	10253	1	3067	965457	59254	10	0	29.0185040598389	0.0031	sixth	3071	0.00308279786743869
19872	10253	1	1597	390648	26614	10	0	29.4103132127366	0.0016	sixth	1599	0.00160514288180868
20966	10253	1	1395	301217	20407	10	0	31.2820478882514	0.0014	sixth	1396	0.00140136301626324
21946	10253	1	359	65617	5222	10	0	28.843253215651	4e-04	sixth	365	0.000366402221300919
22565	10507	1	3949	1008581	53239	10	0	36.9339479923948	0.004	sixth	3950	0.00396517472366748
24014	10253	1	1174	193020	12592	10	0	37.5331034107377	0.0012	sixth	1178	0.00118252552518488
0	0	0	0	73185	388968	1	0	1.18644005523533	0.9989	terminal	0	0
