Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned	Tumor_Sample_Barcode	Recalibrated
HF390_RN001_D01_3	HF390_RN001_D01_3.bam	87352746	87282928	5779200208	5778588271	17334.2352	106	57.6743	0.0028	157.7707	99.9200734914504	HF390_RN001_D01	No
HF394_ET001_D01.recal	HF394_ET001_D01.recal.bam	81741951	81688737	3657934252	3657599848	12265.0307	82	57.329	0.0029	99.8545	99.9349000123572	HF394_ET001_D01	Yes
HF394_ET001_D01_1	HF394_ET001_D01_1.bam	82649396	82572740	5078543401	5078063587	11081.8233	83	57.3692	0.003	138.6343	99.9072515908041	HF394_ET001_D01	No
HF394_RN001_D03.recal	HF394_RN001_D03.recal.bam	97762192	97676613	3150933806	3150596532	6046.2283	73	57.3468	0.0021	86.0143	99.9124620691811	HF394_RN001_D03	Yes
HF394_RN001_D03_1	HF394_RN001_D03_1.bam	98441024	98279652	6039967527	6039290996	4615.5445	77	57.44	0.0024	164.8793	99.8360724081862	HF394_RN001_D03	No
HF395_ET001_D01.recal	HF395_ET001_D01.recal.bam	380226797	380027970	12204814539	12203728968	10102.3302	82	57.2835	0.0029	333.1883	99.9477083147298	HF395_ET001_D01	Yes
HF395_ET001_D01_1	HF395_ET001_D01_1.bam	148526190	148404825	9491850999	9490989179	8373.3293	86	57.4054	0.0033	259.1251	99.9182871384501	HF395_ET001_D01	No
HF395_ET001_D01_2	HF395_ET001_D01_2.bam	143423458	143321427	9140352891	9139509211	7888.6702	85	57.4112	0.0032	249.5293	99.9288603123765	HF395_ET001_D01	No
HF395_ET001_D01_3	HF395_ET001_D01_3.bam	90998796	90934532	5813291253	5812759401	8293.7872	86	57.4401	0.0032	158.7014	99.9293792854138	HF395_ET001_D01	No
HF395_RN001_D01.recal	HF395_RN001_D01.recal.bam	200566052	200420619	6808603925	6808007197	9162.278	77	57.3708	0.0025	185.8731	99.927488725759	HF395_RN001_D01	Yes
HF395_RN001_D01_1	HF395_RN001_D01_1.bam	78039534	77944481	4841079532	4840644979	8043.3596	81	57.4921	0.0028	132.1602	99.8781989138992	HF395_RN001_D01	No
HF395_RN001_D01_2	HF395_RN001_D01_2.bam	75931410	75848059	4693579713	4693156044	7568.5682	80	57.4934	0.0027	128.1335	99.8902285628569	HF395_RN001_D01	No
HF395_RN001_D01_3	HF395_RN001_D01_3.bam	48101600	48046808	2983772787	2983501317	7658.6957	81	57.5158	0.0028	81.4562	99.8860911071565	HF395_RN001_D01	No
HF401_ET001_D01.recal	HF401_ET001_D01.recal.bam	337419176	337289263	14231996629	14230786812	13384.2879	91	57.3927	0.0024	388.5299	99.9614980388666	HF401_ET001_D01	Yes
HF401_ET001_D01_1	HF401_ET001_D01_1.bam	340264442	340060354	21943265848	21941374561	11647.2259	92	57.4235	0.0026	599.0456	99.9400207677298	HF401_ET001_D01	No
HF401_RN001_D01.recal	HF401_RN001_D01.recal.bam	262919206	262782229	10840864009	10839880693	18046.9739	95	57.5185	0.0023	295.9528	99.9479014857515	HF401_RN001_D01	Yes
HF401_RN001_D01_1	HF401_RN001_D01_1.bam	264534994	264331480	16940787150	16939237320	16789.9756	97	57.5498	0.0024	462.4792	99.9230672672365	HF401_RN001_D01	No
